Zone,Produit,origine,dispo_alim_tonnes,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Tchéquie (la),Cephalopodes,animal,321.06,0.0,0.01,0.0
Tchéquie (la),Crustacés,animal,2461.46,0.0,0.06,0.0
Tchéquie (la),Crème,animal,43450.119999999995,22.0,0.3,2.15
Tchéquie (la),Graisses Animales Crue,animal,41309.72,76.0,0.08,8.4
Tchéquie (la),Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Tchéquie (la),Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Tchéquie (la),Lait - Excl Beurre,animal,2089030.3999999997,279.0,20.39,15.25
Tchéquie (la),"Mollusques, Autres",animal,963.18,0.0,0.01,0.0
Tchéquie (la),Oeufs,animal,124785.32,44.0,3.42,3.14
Tchéquie (la),Perciform,animal,22046.12,3.0,0.42,0.14
Tchéquie (la),Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Tchéquie (la),Poissons Eau Douce,animal,31677.92,6.0,0.93,0.27
Tchéquie (la),"Poissons Marins, Autres",animal,5993.120000000001,1.0,0.17,0.03
Tchéquie (la),Poissons Pelagiques,animal,28574.34,7.0,0.98,0.35
Tchéquie (la),Viande d'Ovins/Caprins,animal,3638.6800000000003,2.0,0.13,0.2
Tchéquie (la),Viande de Bovins,animal,87221.3,24.0,2.9,1.25
Tchéquie (la),Viande de Suides,animal,440601.34,178.0,10.6,14.64
Tchéquie (la),Viande de Volailles,animal,204301.18,71.0,6.48,4.78
Tchéquie (la),"Viande, Autre",animal,43450.119999999995,13.0,1.95,0.54
Thaïlande,Abats Comestible,animal,74382.21,3.0,0.56,0.09
Thaïlande,Animaux Aquatiques Autre,animal,85774.08,1.0,0.14,0.01
Thaïlande,"Beurre, Ghee",animal,11391.87,4.0,0.0,0.46
Thaïlande,Cephalopodes,animal,142063.32,5.0,0.97,0.07
Thaïlande,Crustacés,animal,95825.73,2.0,0.42,0.03
Thaïlande,Crème,animal,1340.22,0.0,0.0,0.01
Thaïlande,Graisses Animales Crue,animal,15412.53,5.0,0.01,0.53
Thaïlande,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Thaïlande,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Thaïlande,Lait - Excl Beurre,animal,1966772.85,45.0,2.46,1.74
Thaïlande,"Mollusques, Autres",animal,121960.02,1.0,0.13,0.01
Thaïlande,Oeufs,animal,827585.85,52.0,3.89,3.72
Thaïlande,Perciform,animal,67011.0,1.0,0.18,0.02
Thaïlande,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Thaïlande,Poissons Eau Douce,animal,557531.52,16.0,2.45,0.56
Thaïlande,"Poissons Marins, Autres",animal,14072.31,0.0,0.06,0.01
Thaïlande,Poissons Pelagiques,animal,664749.12,30.0,4.15,1.33
Thaïlande,Viande d'Ovins/Caprins,animal,3350.55,0.0,0.02,0.02
Thaïlande,Viande de Bovins,animal,171548.16,10.0,1.0,0.63
Thaïlande,Viande de Suides,animal,871143.0,124.0,3.92,11.83
Thaïlande,Viande de Volailles,animal,917380.59,52.0,4.49,3.62
Thaïlande,"Viande, Autre",animal,2010.33,0.0,0.02,0.01
Timor-Leste,Abats Comestible,animal,1031.03,3.0,0.45,0.09
Timor-Leste,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Timor-Leste,"Beurre, Ghee",animal,45.32,1.0,,0.08
Timor-Leste,Cephalopodes,animal,33.99,0.0,0.01,0.0
Timor-Leste,Crustacés,animal,124.63,0.0,0.03,0.0
Timor-Leste,Graisses Animales Crue,animal,645.81,11.0,0.07,1.22
Timor-Leste,Lait - Excl Beurre,animal,12417.680000000002,11.0,1.04,0.15
Timor-Leste,"Mollusques, Autres",animal,56.65,0.0,0.0,0.0
Timor-Leste,Oeufs,animal,1858.12,7.0,0.52,0.46
Timor-Leste,Perciform,animal,147.29,1.0,0.08,0.07
Timor-Leste,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Timor-Leste,Poissons Eau Douce,animal,79.31000000000002,0.0,0.02,0.0
Timor-Leste,"Poissons Marins, Autres",animal,3716.24,6.0,0.94,0.19
Timor-Leste,Poissons Pelagiques,animal,2356.64,5.0,0.6,0.29
Timor-Leste,Viande d'Ovins/Caprins,animal,623.15,2.0,0.22,0.16
Timor-Leste,Viande de Bovins,animal,1926.1,8.0,0.6,0.6
Timor-Leste,Viande de Suides,animal,13346.74,111.0,3.4,10.69
Timor-Leste,Viande de Volailles,animal,6412.78,19.0,1.91,1.19
Timor-Leste,"Viande, Autre",animal,19804.84,60.0,7.85,2.87
Togo,Abats Comestible,animal,5249.09,2.0,0.35,0.08
Togo,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Togo,"Beurre, Ghee",animal,68.17,0.0,0.0,0.02
Togo,Cephalopodes,animal,0.0,0.0,0.0,0.0
Togo,Crustacés,animal,0.0,0.0,0.0,0.0
Togo,Crème,animal,136.34,0.0,0.0,0.01
Togo,Graisses Animales Crue,animal,1431.57,4.0,0.02,0.48
Togo,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Togo,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Togo,Lait - Excl Beurre,animal,54263.32,10.0,0.73,0.3
Togo,"Mollusques, Autres",animal,68.17,0.0,0.0,0.0
Togo,Oeufs,animal,5862.62,3.0,0.24,0.2
Togo,Perciform,animal,3135.82,1.0,0.1,0.01
Togo,Poissons Eau Douce,animal,8930.27,2.0,0.38,0.09
Togo,"Poissons Marins, Autres",animal,50445.8,13.0,2.16,0.45
Togo,Poissons Pelagiques,animal,17178.84,5.0,0.74,0.16
Togo,Viande d'Ovins/Caprins,animal,10770.86,7.0,0.59,0.5
Togo,Viande de Bovins,animal,10430.01,8.0,0.63,0.59
Togo,Viande de Suides,animal,10702.69,13.0,0.47,1.22
Togo,Viande de Volailles,animal,45196.71,23.0,2.23,1.47
Togo,"Viande, Autre",animal,5521.77,2.0,0.4,0.07
Trinité-et-Tobago,Abats Comestible,animal,2762.46,6.0,1.02,0.18
Trinité-et-Tobago,"Beurre, Ghee",animal,978.93,15.0,0.01,1.74
Trinité-et-Tobago,Cephalopodes,animal,724.14,1.0,0.22,0.01
Trinité-et-Tobago,Crustacés,animal,2708.82,3.0,0.55,0.03
Trinité-et-Tobago,Crème,animal,174.33,1.0,0.01,0.07
Trinité-et-Tobago,Graisses Animales Crue,animal,5779.709999999999,85.0,0.06,9.57
Trinité-et-Tobago,Huiles de Foie de Poisso,animal,13.41,0.0,0.0,0.01
Trinité-et-Tobago,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Trinité-et-Tobago,Lait - Excl Beurre,animal,139195.8,170.0,9.81,8.44
Trinité-et-Tobago,"Mollusques, Autres",animal,1099.62,0.0,0.07,0.01
Trinité-et-Tobago,Oeufs,animal,5632.2,15.0,1.15,1.01
Trinité-et-Tobago,Perciform,animal,2708.82,3.0,0.49,0.05
Trinité-et-Tobago,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Trinité-et-Tobago,Poissons Eau Douce,animal,590.04,1.0,0.15,0.06
Trinité-et-Tobago,"Poissons Marins, Autres",animal,14348.699999999999,19.0,3.26,0.52
Trinité-et-Tobago,Poissons Pelagiques,animal,9896.58,17.0,2.23,0.77
Trinité-et-Tobago,Viande d'Ovins/Caprins,animal,3741.39,15.0,1.21,1.06
Trinité-et-Tobago,Viande de Bovins,animal,8220.33,23.0,2.64,1.35
Trinité-et-Tobago,Viande de Suides,animal,11961.72,59.0,2.44,5.41
Trinité-et-Tobago,Viande de Volailles,animal,78140.07,201.0,17.67,13.8
Trinité-et-Tobago,"Viande, Autre",animal,281.61,1.0,0.11,0.03
Tunisie,Abats Comestible,animal,15395.799999999997,4.0,0.63,0.16
Tunisie,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Tunisie,"Beurre, Ghee",animal,7038.08,13.0,0.02,1.43
Tunisie,Cephalopodes,animal,5608.47,1.0,0.19,0.01
Tunisie,Crustacés,animal,4398.8,1.0,0.11,0.01
Tunisie,Crème,animal,10447.15,5.0,0.07,0.49
Tunisie,Graisses Animales Crue,animal,5498.5,12.0,0.01,1.35
Tunisie,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Tunisie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Tunisie,Lait - Excl Beurre,animal,1258826.59,170.0,10.12,8.38
Tunisie,"Mollusques, Autres",animal,879.76,0.0,0.01,0.0
Tunisie,Oeufs,animal,84346.99,26.0,2.19,1.77
Tunisie,Perciform,animal,40249.02,4.0,0.82,0.08
Tunisie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Tunisie,Poissons Eau Douce,animal,2199.4,0.0,0.06,0.01
Tunisie,"Poissons Marins, Autres",animal,6158.320000000001,1.0,0.16,0.03
Tunisie,Poissons Pelagiques,animal,90285.37000000001,19.0,2.59,0.9
Tunisie,Viande d'Ovins/Caprins,animal,58723.98,29.0,1.99,2.28
Tunisie,Viande de Bovins,animal,60813.41,28.0,2.21,2.1
Tunisie,Viande de Suides,animal,0.0,0.0,,0.0
Tunisie,Viande de Volailles,animal,203444.5,62.0,6.83,3.68
Tunisie,"Viande, Autre",animal,9897.3,3.0,0.37,0.16
Turkménistan,Abats Comestible,animal,2515.2,1.0,0.22,0.05
Turkménistan,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Turkménistan,"Beurre, Ghee",animal,3615.5999999999995,14.0,0.02,1.54
Turkménistan,Cephalopodes,animal,0.0,0.0,0.0,0.0
Turkménistan,Crustacés,animal,0.0,0.0,0.0,0.0
Turkménistan,Graisses Animales Crue,animal,10532.399999999998,48.0,0.05,5.35
Turkménistan,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Turkménistan,Lait - Excl Beurre,animal,718351.6,223.0,12.55,11.88
Turkménistan,"Mollusques, Autres",animal,52.4,0.0,0.0,0.0
Turkménistan,Oeufs,animal,41291.2,30.0,2.31,2.12
Turkménistan,Perciform,animal,628.8,0.0,0.02,0.0
Turkménistan,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Turkménistan,Poissons Eau Douce,animal,15143.6,5.0,0.86,0.2
Turkménistan,"Poissons Marins, Autres",animal,262.0,0.0,0.02,0.0
Turkménistan,Poissons Pelagiques,animal,3458.4,2.0,0.19,0.08
Turkménistan,Viande d'Ovins/Caprins,animal,133620.0,176.0,9.46,15.09
Turkménistan,Viande de Bovins,animal,136554.4,160.0,10.54,12.77
Turkménistan,Viande de Suides,animal,7598.0,11.0,0.3,1.02
Turkménistan,Viande de Volailles,animal,19964.4,13.0,1.29,0.8
Turkménistan,"Viande, Autre",animal,1414.8,1.0,0.12,0.04
Turquie,Abats Comestible,animal,88420.94,4.0,0.53,0.13
Turquie,Animaux Aquatiques Autre,animal,749.33,0.0,0.0,0.0
Turquie,"Beurre, Ghee",animal,230793.64,61.0,0.07,6.85
Turquie,Cephalopodes,animal,5245.310000000001,0.0,0.03,0.0
Turquie,Crustacés,animal,3746.65,0.0,0.02,0.0
Turquie,Crème,animal,0.0,0.0,0.0,0.0
Turquie,Graisses Animales Crue,animal,58447.74,15.0,0.01,1.68
Turquie,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Turquie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Turquie,Lait - Excl Beurre,animal,14532506.02,309.0,18.09,16.62
Turquie,"Mollusques, Autres",animal,27725.21,0.0,0.03,0.0
Turquie,Oeufs,animal,614450.6,33.0,2.59,2.29
Turquie,Perciform,animal,77930.32,1.0,0.22,0.02
Turquie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Turquie,Poissons Eau Douce,animal,122890.12,3.0,0.48,0.11
Turquie,"Poissons Marins, Autres",animal,0.0,0.0,0.0,0.0
Turquie,Poissons Pelagiques,animal,217305.7,7.0,0.94,0.3
Turquie,Viande d'Ovins/Caprins,animal,350686.44,31.0,1.6,2.69
Turquie,Viande de Bovins,animal,872220.12,40.0,5.35,1.92
Turquie,Viande de Suides,animal,749.33,0.0,0.0,0.0
Turquie,Viande de Volailles,animal,1407241.74,63.0,6.33,3.99
Turquie,"Viande, Autre",animal,1498.66,0.0,0.01,0.0
Ukraine,Abats Comestible,animal,151098.26,10.0,1.68,0.27
Ukraine,Animaux Aquatiques Autre,animal,452.39,0.0,0.0,0.0
Ukraine,"Beurre, Ghee",animal,104502.09,46.0,0.06,5.19
Ukraine,Cephalopodes,animal,452.39,0.0,0.0,0.0
Ukraine,Crustacés,animal,23071.89,1.0,0.13,0.01
Ukraine,Crème,animal,904.78,0.0,0.0,0.01
Ukraine,Graisses Animales Crue,animal,125312.03,56.0,0.06,6.15
Ukraine,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Ukraine,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Ukraine,Lait - Excl Beurre,animal,6561012.17,236.0,13.11,13.58
Ukraine,"Mollusques, Autres",animal,57905.92,1.0,0.09,0.01
Ukraine,Oeufs,animal,814754.3900000001,69.0,5.28,4.86
Ukraine,Perciform,animal,87763.66,2.0,0.37,0.04
Ukraine,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Ukraine,Poissons Eau Douce,animal,100882.97,4.0,0.65,0.15
Ukraine,"Poissons Marins, Autres",animal,104049.69999999998,5.0,0.74,0.18
Ukraine,Poissons Pelagiques,animal,396293.64,19.0,2.64,0.8
Ukraine,Viande d'Ovins/Caprins,animal,18547.99,2.0,0.16,0.19
Ukraine,Viande de Bovins,animal,405341.44000000006,54.0,3.63,4.31
Ukraine,Viande de Suides,animal,930113.84,100.0,6.1,8.22
Ukraine,Viande de Volailles,animal,1096140.97,81.0,8.19,5.15
Ukraine,"Viande, Autre",animal,26238.62,2.0,0.26,0.06
Uruguay,Abats Comestible,animal,9914.37,9.0,1.42,0.29
Uruguay,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Uruguay,"Beurre, Ghee",animal,4531.31,27.0,0.03,3.0
Uruguay,Cephalopodes,animal,681.4,0.0,0.08,0.0
Uruguay,Crustacés,animal,545.12,0.0,0.05,0.0
Uruguay,Crème,animal,511.05,1.0,0.01,0.08
Uruguay,Graisses Animales Crue,animal,6302.95,38.0,0.0,4.18
Uruguay,Huiles de Foie de Poisso,animal,34.07,0.0,0.0,0.03
Uruguay,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Uruguay,Lait - Excl Beurre,animal,717309.78,326.0,20.79,17.97
Uruguay,"Mollusques, Autres",animal,2044.2,0.0,0.04,0.01
Uruguay,Oeufs,animal,44767.98,47.0,3.57,3.1
Uruguay,Perciform,animal,8347.150000000001,4.0,0.64,0.12
Uruguay,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Uruguay,Poissons Eau Douce,animal,4974.22,2.0,0.33,0.07
Uruguay,"Poissons Marins, Autres",animal,613.26,0.0,0.05,0.01
Uruguay,Poissons Pelagiques,animal,8313.08,7.0,0.91,0.37
Uruguay,Viande d'Ovins/Caprins,animal,28039.61,48.0,2.98,3.9
Uruguay,Viande de Bovins,animal,99143.7,181.0,10.11,15.25
Uruguay,Viande de Suides,animal,57373.88,80.0,4.43,6.76
Uruguay,Viande de Volailles,animal,93522.15,95.0,8.28,6.56
Uruguay,"Viande, Autre",animal,2316.76,2.0,0.27,0.06
Vanuatu,Abats Comestible,animal,839.96,10.0,1.67,0.27
Vanuatu,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Vanuatu,"Beurre, Ghee",animal,7.59,1.0,0.0,0.06
Vanuatu,Cephalopodes,animal,35.42,0.0,0.05,0.0
Vanuatu,Crustacés,animal,898.15,5.0,0.92,0.05
Vanuatu,Crème,animal,48.07,1.0,0.01,0.1
Vanuatu,Graisses Animales Crue,animal,488.29,40.0,0.1,4.39
Vanuatu,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Vanuatu,Lait - Excl Beurre,animal,6378.13,50.0,2.23,2.38
Vanuatu,"Mollusques, Autres",animal,53.13,0.0,0.02,0.0
Vanuatu,Oeufs,animal,850.08,13.0,1.06,0.94
Vanuatu,Perciform,animal,78.43,0.0,0.07,0.01
Vanuatu,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Vanuatu,Poissons Eau Douce,animal,93.61,1.0,0.11,0.03
Vanuatu,"Poissons Marins, Autres",animal,3397.79,31.0,4.41,1.29
Vanuatu,Poissons Pelagiques,animal,3552.12,35.0,4.2,1.81
Vanuatu,Viande d'Ovins/Caprins,animal,106.26,2.0,0.16,0.18
Vanuatu,Viande de Bovins,animal,2838.66,60.0,4.54,4.53
Vanuatu,Viande de Suides,animal,3830.42,143.0,4.59,13.62
Vanuatu,Viande de Volailles,animal,2972.75,39.0,4.02,2.46
Vanuatu,"Viande, Autre",animal,566.72,12.0,1.07,0.83
Venezuela (République bolivarienne du),Abats Comestible,animal,89390.7,9.0,1.14,0.36
Venezuela (République bolivarienne du),Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Venezuela (République bolivarienne du),"Beurre, Ghee",animal,4256.7,3.0,0.0,0.31
Venezuela (République bolivarienne du),Cephalopodes,animal,7297.2,0.0,0.1,0.01
Venezuela (République bolivarienne du),Crustacés,animal,16114.65,1.0,0.13,0.01
Venezuela (République bolivarienne du),Crème,animal,3952.65,1.0,0.01,0.07
Venezuela (République bolivarienne du),Graisses Animales Crue,animal,40438.65,26.0,0.14,2.85
Venezuela (République bolivarienne du),Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Venezuela (République bolivarienne du),Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Venezuela (République bolivarienne du),Lait - Excl Beurre,animal,3581404.95,146.0,8.23,9.34
Venezuela (République bolivarienne du),"Mollusques, Autres",animal,13986.3,0.0,0.04,0.01
Venezuela (République bolivarienne du),Oeufs,animal,171180.15,20.0,1.53,1.33
Venezuela (République bolivarienne du),Perciform,animal,65370.75,3.0,0.48,0.06
Venezuela (République bolivarienne du),Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Venezuela (République bolivarienne du),Poissons Eau Douce,animal,47431.8,3.0,0.46,0.11
Venezuela (République bolivarienne du),"Poissons Marins, Autres",animal,5472.9,0.0,0.05,0.01
Venezuela (République bolivarienne du),Poissons Pelagiques,animal,135302.25,15.0,1.75,0.8
Venezuela (République bolivarienne du),Viande d'Ovins/Caprins,animal,9729.6,1.0,0.1,0.07
Venezuela (République bolivarienne du),Viande de Bovins,animal,787185.45,81.0,8.29,4.88
Venezuela (République bolivarienne du),Viande de Suides,animal,219828.15,30.0,1.66,2.51
Venezuela (République bolivarienne du),Viande de Volailles,animal,1194308.4,137.0,13.99,8.5
Venezuela (République bolivarienne du),"Viande, Autre",animal,1520.25,0.0,0.03,0.01
Viet Nam,Abats Comestible,animal,383222.4,13.0,2.1,0.38
Viet Nam,Animaux Aquatiques Autre,animal,30254.4,0.0,0.04,0.0
Viet Nam,"Beurre, Ghee",animal,20169.6,4.0,0.01,0.51
Viet Nam,Cephalopodes,animal,139353.6,3.0,0.57,0.03
Viet Nam,Crustacés,animal,258537.6,4.0,0.76,0.04
Viet Nam,Crème,animal,916.8,0.0,0.0,0.01
Viet Nam,Graisses Animales Crue,animal,202612.8,44.0,0.24,4.73
Viet Nam,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Viet Nam,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Viet Nam,Lait - Excl Beurre,animal,1499884.8,27.0,1.65,0.88
Viet Nam,"Mollusques, Autres",animal,165940.8,1.0,0.12,0.01
Viet Nam,Oeufs,animal,352051.2,15.0,1.21,1.07
Viet Nam,Perciform,animal,6417.600000000001,0.0,0.01,0.0
Viet Nam,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Viet Nam,Poissons Eau Douce,animal,1187256.0,21.0,3.4,0.77
Viet Nam,"Poissons Marins, Autres",animal,1148750.4,21.0,3.29,0.73
Viet Nam,Poissons Pelagiques,animal,88929.6,2.0,0.31,0.09
Viet Nam,Viande d'Ovins/Caprins,animal,12835.200000000003,1.0,0.05,0.05
Viet Nam,Viande de Bovins,animal,682099.2,28.0,2.51,1.88
Viet Nam,Viande de Suides,animal,3208800.0,344.0,10.61,33.02
Viet Nam,Viande de Volailles,animal,1133164.8,46.0,4.04,3.24
Viet Nam,"Viande, Autre",animal,26587.2,1.0,0.13,0.05
Yémen,Abats Comestible,animal,45885.16,6.0,0.84,0.21
Yémen,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Yémen,"Beurre, Ghee",animal,3172.91,3.0,0.0,0.3
Yémen,Cephalopodes,animal,0.0,0.0,0.0,0.0
Yémen,Crustacés,animal,732.21,0.0,0.01,0.0
Yémen,Crème,animal,732.21,0.0,0.0,0.02
Yémen,Graisses Animales Crue,animal,14156.059999999998,13.0,0.02,1.48
Yémen,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Yémen,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Yémen,Lait - Excl Beurre,animal,1073175.79,55.0,4.05,2.36
Yémen,"Mollusques, Autres",animal,0.0,0.0,0.0,0.0
Yémen,Oeufs,animal,54427.61,9.0,0.65,0.62
Yémen,Perciform,animal,26847.700000000004,1.0,0.25,0.02
Yémen,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Yémen,Poissons Eau Douce,animal,976.28,0.0,0.01,0.01
Yémen,Poissons Pelagiques,animal,31240.96,3.0,0.39,0.16
Yémen,Viande d'Ovins/Caprins,animal,117397.66999999998,27.0,1.94,2.1
Yémen,Viande de Bovins,animal,115933.25,34.0,1.83,2.94
Yémen,Viande de Suides,animal,244.07,0.0,0.0,0.01
Yémen,Viande de Volailles,animal,261643.04000000004,37.0,3.82,2.32
Yémen,"Viande, Autre",animal,2928.84,1.0,0.04,0.04
Zambie,Abats Comestible,animal,15265.95,3.0,0.51,0.09
Zambie,"Beurre, Ghee",animal,290.78,0.0,0.0,0.05
Zambie,Cephalopodes,animal,0.0,0.0,0.0,0.0
Zambie,Crustacés,animal,0.0,0.0,0.0,0.0
Zambie,Crème,animal,0.0,0.0,0.0,0.0
Zambie,Graisses Animales Crue,animal,4361.7,6.0,0.02,0.71
Zambie,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Zambie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Zambie,Lait - Excl Beurre,animal,141173.69,15.0,0.85,0.77
Zambie,"Mollusques, Autres",animal,145.39,0.0,0.0,0.0
Zambie,Oeufs,animal,48269.48,11.0,0.95,0.76
Zambie,Perciform,animal,0.0,0.0,0.0,0.0
Zambie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Zambie,Poissons Eau Douce,animal,79819.11,10.0,1.59,0.36
Zambie,"Poissons Marins, Autres",animal,8287.23,1.0,0.16,0.03
Zambie,Poissons Pelagiques,animal,2035.4600000000003,0.0,0.04,0.02
Zambie,Viande d'Ovins/Caprins,animal,9886.52,2.0,0.26,0.14
Zambie,Viande de Bovins,animal,69205.64,25.0,1.91,1.84
Zambie,Viande de Suides,animal,24134.74,14.0,0.52,1.31
Zambie,Viande de Volailles,animal,47833.31,11.0,1.11,0.69
Zambie,"Viande, Autre",animal,38528.35,8.0,1.31,0.22
Zimbabwe,Abats Comestible,animal,21791.0,5.0,0.75,0.14
Zimbabwe,"Beurre, Ghee",animal,2405.5,3.0,0.0,0.38
Zimbabwe,Cephalopodes,animal,0.0,0.0,0.0,0.0
Zimbabwe,Crustacés,animal,0.0,0.0,0.0,0.0
Zimbabwe,Crème,animal,990.5000000000001,0.0,0.01,0.04
Zimbabwe,Graisses Animales Crue,animal,16838.5,25.0,0.03,2.77
Zimbabwe,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Zimbabwe,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Zimbabwe,Lait - Excl Beurre,animal,451385.0,49.0,2.65,2.51
Zimbabwe,"Mollusques, Autres",animal,141.5,0.0,0.0,0.0
Zimbabwe,Oeufs,animal,24762.5,6.0,0.5,0.41
Zimbabwe,Perciform,animal,141.5,0.0,0.0,0.0
Zimbabwe,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Zimbabwe,Poissons Eau Douce,animal,29007.499999999996,4.0,0.62,0.14
Zimbabwe,"Poissons Marins, Autres",animal,1698.0,0.0,0.03,0.01
Zimbabwe,Poissons Pelagiques,animal,8773.0,1.0,0.19,0.06
Zimbabwe,Viande d'Ovins/Caprins,animal,13584.0,3.0,0.37,0.19
Zimbabwe,Viande de Bovins,animal,104285.5,34.0,2.97,2.38
Zimbabwe,Viande de Suides,animal,37497.5,24.0,0.83,2.25
Zimbabwe,Viande de Volailles,animal,70325.5,17.0,1.69,1.05
Zimbabwe,"Viande, Autre",animal,32403.5,7.0,1.12,0.21
Égypte,Abats Comestible,animal,292119.36,10.0,1.77,0.26
Égypte,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Égypte,"Beurre, Ghee",animal,160829.76,39.0,0.05,4.41
Égypte,Cephalopodes,animal,12308.4,0.0,0.06,0.0
Égypte,Crustacés,animal,36104.64,1.0,0.12,0.01
Égypte,Crème,animal,3282.24,0.0,0.0,0.02
Égypte,Graisses Animales Crue,animal,19693.44,6.0,0.01,0.62
Égypte,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Égypte,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Égypte,Lait - Excl Beurre,animal,4879049.76,94.0,5.66,5.92
Égypte,"Mollusques, Autres",animal,5743.920000000001,0.0,0.0,0.0
Égypte,Oeufs,animal,376637.04,18.0,1.35,1.28
Égypte,Perciform,animal,298683.84,4.0,0.8,0.07
Égypte,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Égypte,Poissons Eau Douce,animal,1142219.52,26.0,4.16,0.95
Égypte,"Poissons Marins, Autres",animal,26257.92,1.0,0.08,0.02
Égypte,Poissons Pelagiques,animal,293760.48,8.0,1.1,0.38
Égypte,Viande d'Ovins/Caprins,animal,129648.48,10.0,0.63,0.76
Égypte,Viande de Bovins,animal,1056881.28,51.0,4.83,3.35
Égypte,Viande de Suides,animal,1641.12,0.0,0.0,0.01
Égypte,Viande de Volailles,animal,1184068.08,56.0,5.04,3.77
Égypte,"Viande, Autre",animal,128007.36,6.0,0.68,0.34
Émirats arabes unis,Abats Comestible,animal,19626.6,6.0,0.94,0.24
Émirats arabes unis,Animaux Aquatiques Autre,animal,93.46,0.0,0.0,0.0
Émirats arabes unis,"Beurre, Ghee",animal,15140.520000000002,33.0,0.03,3.79
Émirats arabes unis,Cephalopodes,animal,1962.66,0.0,0.09,0.01
Émirats arabes unis,Crustacés,animal,15420.9,2.0,0.48,0.02
Émirats arabes unis,Crème,animal,5701.06,3.0,0.05,0.32
Émirats arabes unis,Graisses Animales Crue,animal,3271.1,8.0,0.01,0.9
Émirats arabes unis,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Émirats arabes unis,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Émirats arabes unis,Lait - Excl Beurre,animal,1239840.36,217.0,12.33,10.19
Émirats arabes unis,"Mollusques, Autres",animal,4766.46,0.0,0.04,0.0
Émirats arabes unis,Oeufs,animal,76917.58,31.0,2.41,2.22
Émirats arabes unis,Perciform,animal,122619.52,13.0,2.5,0.25
Émirats arabes unis,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Émirats arabes unis,Poissons Eau Douce,animal,7383.34,1.0,0.21,0.05
